filename;client_no;concurrency;repetition;total_events;run_time;ops;tps;net_rate;tmin;tmax;tavg;tgeo;tstd
results/baseline/baseline_memaslap1_conc001_rep00.out;1;1;0;93478;60.2;93479;1552;0.3;144;9484;641;543;467
results/baseline/baseline_memaslap1_conc001_rep01.out;1;1;1;92013;60.3;92014;1527;0.3;155;8453;652;550;481
results/baseline/baseline_memaslap1_conc001_rep02.out;1;1;2;99105;60.2;99106;1645;0.3;141;8503;604;510;453
results/baseline/baseline_memaslap1_conc001_rep03.out;1;1;3;102137;60.2;102138;1696;0.3;138;10023;586;503;440
results/baseline/baseline_memaslap1_conc001_rep04.out;1;1;4;101008;60.2;101009;1677;0.3;145;10158;593;507;445
results/baseline/baseline_memaslap1_conc002_rep00.out;1;2;0;91939;60.2;91940;1526;0.3;140;10467;652;549;470
results/baseline/baseline_memaslap1_conc002_rep01.out;1;2;1;91438;60.2;91439;1518;0.3;135;8567;655;552;475
results/baseline/baseline_memaslap1_conc002_rep02.out;1;2;2;94716;60.2;94717;1572;0.3;142;9925;632;533;467
results/baseline/baseline_memaslap1_conc002_rep03.out;1;2;3;93993;60.2;93994;1560;0.3;144;8953;637;537;475
results/baseline/baseline_memaslap1_conc002_rep04.out;1;2;4;91812;60.3;91813;1523;0.3;141;9210;653;549;482
results/baseline/baseline_memaslap1_conc004_rep00.out;1;4;0;171640;60.2;171642;2849;0.5;146;8756;699;601;481
results/baseline/baseline_memaslap1_conc004_rep01.out;1;4;1;174657;60.3;174659;2899;0.5;135;9144;687;587;494
results/baseline/baseline_memaslap1_conc004_rep02.out;1;4;2;175187;60.2;175189;2908;0.5;148;9228;685;588;478
results/baseline/baseline_memaslap1_conc004_rep03.out;1;4;3;170497;60.2;170499;2830;0.5;135;10121;704;604;479
results/baseline/baseline_memaslap1_conc004_rep04.out;1;4;4;168185;60.2;168187;2792;0.5;131;17447;714;605;513
results/baseline/baseline_memaslap1_conc008_rep00.out;1;8;0;325031;60.5;325035;5374;1.0;146;10342;741;642;495
results/baseline/baseline_memaslap1_conc008_rep01.out;1;8;1;331834;60.5;331838;5488;1.0;143;9646;726;627;504
results/baseline/baseline_memaslap1_conc008_rep02.out;1;8;2;327330;60.3;327334;5431;1.0;134;10286;734;636;497
results/baseline/baseline_memaslap1_conc008_rep03.out;1;8;3;316604;60.2;316608;5255;0.9;141;10087;758;653;525
results/baseline/baseline_memaslap1_conc008_rep04.out;1;8;4;317096;60.2;317100;5264;0.9;142;12207;757;653;516
results/baseline/baseline_memaslap1_conc016_rep00.out;1;16;0;582171;60.2;582179;9664;1.7;141;16867;825;713;556
results/baseline/baseline_memaslap1_conc016_rep01.out;1;16;1;583836;60.2;583844;9692;1.7;121;11745;823;710;564
results/baseline/baseline_memaslap1_conc016_rep02.out;1;16;2;578287;60.5;578295;9562;1.7;133;9103;834;722;554
results/baseline/baseline_memaslap1_conc016_rep03.out;1;16;3;570412;60.2;570420;9468;1.7;123;9143;842;729;565
results/baseline/baseline_memaslap1_conc016_rep04.out;1;16;4;573618;60.4;573626;9494;1.7;129;10037;840;729;544
results/baseline/baseline_memaslap1_conc024_rep00.out;1;24;0;776228;60.4;776240;12844;2.3;135;11345;932;798;677
results/baseline/baseline_memaslap1_conc024_rep01.out;1;24;1;742316;60.3;742328;12314;2.2;126;22978;971;791;918
results/baseline/baseline_memaslap1_conc024_rep02.out;1;24;2;743257;60.3;743269;12336;2.2;131;12824;970;799;884
results/baseline/baseline_memaslap1_conc024_rep03.out;1;24;3;772166;60.3;772178;12814;2.3;124;11337;934;802;676
results/baseline/baseline_memaslap1_conc024_rep04.out;1;24;4;776515;60.3;776527;12874;2.3;140;16362;929;791;694
results/baseline/baseline_memaslap1_conc032_rep00.out;1;32;0;887762;60.5;887778;14679;2.6;147;22308;1087;893;932
results/baseline/baseline_memaslap1_conc032_rep01.out;1;32;1;879033;60.2;879049;14592;2.6;150;31373;1093;897;939
results/baseline/baseline_memaslap1_conc032_rep02.out;1;32;2;858381;60.2;858397;14249;2.5;138;28525;1120;905;1024
results/baseline/baseline_memaslap1_conc032_rep03.out;1;32;3;822131;60.3;822147;13640;2.4;144;26874;1169;910;1206
results/baseline/baseline_memaslap1_conc032_rep04.out;1;32;4;773064;60.2;773080;12834;2.3;130;26904;1243;916;1414
results/baseline/baseline_memaslap1_conc040_rep00.out;1;40;0;818182;60.3;818202;13575;2.4;139;36829;1468;1028;1703
results/baseline/baseline_memaslap1_conc040_rep01.out;1;40;1;794916;60.2;794936;13194;2.4;154;36975;1511;1053;1775
results/baseline/baseline_memaslap1_conc040_rep02.out;1;40;2;870309;60.2;870329;14446;2.6;153;48220;1380;1017;1524
results/baseline/baseline_memaslap1_conc040_rep03.out;1;40;3;899364;60.2;899384;14929;2.7;154;80005;1336;1004;1453
results/baseline/baseline_memaslap1_conc040_rep04.out;1;40;4;942454;60.3;942474;15640;2.8;144;81371;1275;996;1376
results/baseline/baseline_memaslap1_conc048_rep00.out;1;48;0;885994;60.5;886018;14645;2.6;147;147488;1634;1147;2032
results/baseline/baseline_memaslap1_conc048_rep01.out;1;48;1;844972;60.5;844996;13966;2.5;148;81032;1714;1170;2013
results/baseline/baseline_memaslap1_conc048_rep02.out;1;48;2;951866;60.2;951890;15802;2.8;148;83538;1515;1113;1768
results/baseline/baseline_memaslap1_conc048_rep03.out;1;48;3;926225;60.3;926249;15356;2.7;159;111501;1559;1121;1915
results/baseline/baseline_memaslap1_conc048_rep04.out;1;48;4;935073;60.2;935097;15520;2.8;145;85770;1542;1121;1713
results/baseline/baseline_memaslap1_conc056_rep00.out;1;56;0;907519;60.2;907547;15063;2.7;147;101054;1854;1258;2284
results/baseline/baseline_memaslap1_conc056_rep01.out;1;56;1;952997;60.5;953025;15755;2.8;155;111528;1773;1238;2092
results/baseline/baseline_memaslap1_conc056_rep02.out;1;56;2;917466;60.5;917494;15154;2.7;155;112896;1842;1246;2172
results/baseline/baseline_memaslap1_conc056_rep03.out;1;56;3;923256;60.3;923284;15320;2.7;164;111013;1822;1241;2228
results/baseline/baseline_memaslap1_conc056_rep04.out;1;56;4;901652;60.3;901680;14955;2.7;165;145754;1868;1254;2558
results/baseline/baseline_memaslap1_conc064_rep00.out;1;64;0;922703;60.2;922735;15315;2.7;164;143801;2084;1401;2559
results/baseline/baseline_memaslap1_conc064_rep01.out;1;64;1;879069;60.2;879101;14591;2.6;167;100770;2186;1426;2558
results/baseline/baseline_memaslap1_conc064_rep02.out;1;64;2;922266;60.3;922298;15294;2.7;161;111884;2087;1386;2440
results/baseline/baseline_memaslap1_conc064_rep03.out;1;64;3;919160;60.2;919192;15258;2.7;147;131194;2091;1368;2594
results/baseline/baseline_memaslap1_conc064_rep04.out;1;64;4;930909;60.2;930941;15454;2.8;155;67416;2064;1366;2310
results/baseline/baseline_memaslap1_conc072_rep00.out;1;72;0;962147;60.3;962183;15969;2.8;159;112649;2248;1471;2551
results/baseline/baseline_memaslap1_conc072_rep01.out;1;72;1;924915;60.3;924951;15349;2.7;172;131010;2340;1531;2764
results/baseline/baseline_memaslap1_conc072_rep02.out;1;72;2;952338;60.3;952374;15801;2.8;165;82739;2272;1482;2664
results/baseline/baseline_memaslap1_conc072_rep03.out;1;72;3;925576;60.2;925612;15365;2.7;170;67042;2336;1497;2558
results/baseline/baseline_memaslap1_conc072_rep04.out;1;72;4;920991;60.2;921027;15288;2.7;171;96605;2349;1538;2689
results/baseline/baseline_memaslap1_conc080_rep00.out;1;80;0;981840;60.2;981880;16300;2.9;162;96288;2447;1621;2635
results/baseline/baseline_memaslap1_conc080_rep01.out;1;80;1;962031;60.2;962071;15969;2.8;183;161439;2498;1635;2989
results/baseline/baseline_memaslap1_conc080_rep02.out;1;80;2;992871;60.3;992911;16476;2.9;174;113450;2421;1590;2841
results/baseline/baseline_memaslap1_conc080_rep03.out;1;80;3;969527;60.5;969567;16027;2.9;164;87773;2490;1610;2783
results/baseline/baseline_memaslap1_conc080_rep04.out;1;80;4;975041;60.3;975081;16165;2.9;169;105110;2468;1633;2670
results/baseline/baseline_memaslap1_conc088_rep00.out;1;88;0;1009003;60.6;1009047;16661;3.0;166;65289;2633;1725;2718
results/baseline/baseline_memaslap1_conc088_rep01.out;1;88;1;952454;60.3;952498;15797;2.8;193;160203;2778;1791;3156
results/baseline/baseline_memaslap1_conc088_rep02.out;1;88;2;981169;60.2;981213;16289;2.9;183;147636;2695;1761;3053
results/baseline/baseline_memaslap1_conc088_rep03.out;1;88;3;1038035;60.3;1038079;17229;3.1;175;141017;2547;1681;2910
results/baseline/baseline_memaslap1_conc088_rep04.out;1;88;4;972493;60.4;972537;16095;2.9;181;143998;2726;1781;3024
results/baseline/baseline_memaslap1_conc096_rep00.out;1;96;0;1004342;60.2;1004390;16673;3.0;181;106120;2872;1881;2961
results/baseline/baseline_memaslap1_conc096_rep01.out;1;96;1;997667;60.3;997715;16546;2.9;185;97726;2894;1895;2945
results/baseline/baseline_memaslap1_conc096_rep02.out;1;96;2;1008241;60.5;1008289;16654;3.0;185;142472;2875;1856;3139
results/baseline/baseline_memaslap1_conc096_rep03.out;1;96;3;1068978;60.3;1069026;17732;3.2;187;141056;2700;1790;3051
results/baseline/baseline_memaslap1_conc096_rep04.out;1;96;4;999966;60.2;1000014;16600;3.0;189;146398;2883;1882;3051
results/baseline/baseline_memaslap1_conc104_rep00.out;1;104;0;1058460;60.4;1058512;17538;3.1;185;97560;2956;1934;2969
results/baseline/baseline_memaslap1_conc104_rep01.out;1;104;1;1014345;60.2;1014397;16837;3.0;195;110994;3080;2011;3269
results/baseline/baseline_memaslap1_conc104_rep02.out;1;104;2;1035483;60.4;1035535;17154;3.1;186;66607;3025;2009;2908
results/baseline/baseline_memaslap1_conc104_rep03.out;1;104;3;1016131;60.2;1016183;16866;3.0;189;159929;3075;2014;3275
results/baseline/baseline_memaslap1_conc104_rep04.out;1;104;4;998351;60.5;998403;16501;2.9;201;190913;3144;2049;3221
results/baseline/baseline_memaslap1_conc112_rep00.out;1;112;0;1087121;60.4;1087177;17992;3.2;185;82231;3103;2047;3052
results/baseline/baseline_memaslap1_conc112_rep01.out;1;112;1;986782;60.3;986838;16376;2.9;190;100913;3412;2244;3289
results/baseline/baseline_memaslap1_conc112_rep02.out;1;112;2;1045234;60.3;1045290;17333;3.1;179;113722;3223;2136;3178
results/baseline/baseline_memaslap1_conc112_rep03.out;1;112;3;987571;60.3;987627;16390;2.9;174;74194;3409;2247;3203
results/baseline/baseline_memaslap1_conc112_rep04.out;1;112;4;1041420;60.2;1041476;17289;3.1;190;159682;3231;2107;3438
results/baseline/baseline_memaslap1_conc120_rep00.out;1;120;0;975715;60.2;975775;16198;2.9;175;105930;3694;2449;3459
results/baseline/baseline_memaslap1_conc120_rep01.out;1;120;1;1026654;60.2;1026714;17041;3.0;161;142197;3511;2318;3361
results/baseline/baseline_memaslap1_conc120_rep02.out;1;120;2;997514;60.2;997574;16559;2.9;190;200448;3616;2392;3769
results/baseline/baseline_memaslap1_conc120_rep03.out;1;120;3;1069804;60.3;1069864;17756;3.2;195;127161;3370;2231;3481
results/baseline/baseline_memaslap1_conc120_rep04.out;1;120;4;1007601;60.3;1007661;16722;3.0;149;99922;3580;2371;3469
