memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;67965;6796;0;526;106692;10668;6793.23
7;t;GET;20;61294;6129;0;411;207951;11837;9623.47
7;t;GET;30;64251;6425;0;453;1050057;11298;35311.46
7;t;GET;40;67326;6732;0;609;168173;10770;9164.81
7;t;GET;50;67738;6773;0;492;79725;10718;6031.89
7;t;GET;60;67633;6763;0;580;315979;10724;12510.29
7;t;GET;70;69297;6929;0;636;269403;10470;9238.67
7;t;GET;80;58764;5876;0;562;1308192;12348;43899.67
7;t;GET;90;62819;6281;0;608;969442;11548;33279.98
7;t;GET;100;65526;6552;0;469;346277;11070;12293.14
7;t;GET;110;68650;6865;0;562;231389;10571;12131.01
7;t;GET;120;67248;6724;0;405;323655;10791;13630.03
7;t;GET;130;58933;5893;0;394;1101118;12315;40394.31
7;t;GET;140;67911;6791;0;628;177656;10673;10032.36
7;t;GET;150;68163;6816;0;526;256797;10599;10776.76
7;t;GET;160;61604;6160;0;508;389028;11731;20976.99
7;t;GET;170;65246;6524;0;537;249473;11079;12658.09
7;t;GET;180;63865;6386;0;579;253027;11311;13238.06
7;t;GET;190;63218;6321;0;556;543516;11438;22284.13
7;t;GET;200;64573;6457;0;609;196485;11193;11958.15
7;t;GET;210;61658;6165;0;676;261120;11724;15730.29
7;t;GET;220;60828;6082;0;603;483732;11858;24709.81
7;t;GET;230;65334;6533;0;495;235484;10875;13120.67
7;t;GET;240;59696;5969;0;605;315954;12336;16837.39
7;t;GET;250;65069;6506;0;456;213143;11102;13511.16
7;t;GET;260;68321;6832;0;511;249963;10577;10733.80
7;t;GET;270;61835;6183;0;666;233185;11689;13552.93
7;t;GET;280;59619;5961;0;675;666828;12118;25254.21
7;t;GET;290;45718;4571;0;662;866639;14082;48467.49
7;t;GET;300;54919;5491;0;731;4589592;14605;96968.87
7;t;GET;310;58764;5876;0;534;1731506;12294;41406.76
7;t;GET;320;68995;6899;0;572;235432;10479;12481.69
7;t;GET;330;60338;6033;0;565;335299;11972;16612.35
7;t;GET;340;64768;6476;0;618;157794;11016;9664.93
7;t;GET;350;59076;5907;0;390;677636;12397;26749.95
7;t;GET;360;66930;6693;0;425;167719;10814;10336.12
7;t;GET;360;66930;6693;0;425;167719;10814;10336.12
7;global;GET;362.0;66930;6693;0;390;4589592;11409;25524
8;t;GET;10;65743;6574;0;607;106135;10987;6972.15
8;t;GET;20;58871;5887;0;581;207700;12277;9746.75
8;t;GET;30;60346;6034;0;567;1045051;11976;36872.32
8;t;GET;40;64768;6476;0;556;168879;11155;8681.01
8;t;GET;50;65290;6529;0;627;79702;11070;6040.68
8;t;GET;60;64438;6443;0;637;318337;11213;12771.71
8;t;GET;70;66075;6607;0;629;247899;10942;9408.11
8;t;GET;80;56245;5624;0;644;1988245;12839;46185.25
8;t;GET;90;59605;5960;0;572;971138;12048;34314.37
8;t;GET;100;63713;6371;0;651;337845;11420;12784.30
8;t;GET;110;66326;6632;0;570;232167;10902;12298.94
8;t;GET;120;64427;6442;0;483;326599;11209;14060.09
8;t;GET;130;56798;5679;0;547;1101722;12686;41073.10
8;t;GET;140;64937;6493;0;640;172694;11171;10275.12
8;t;GET;150;63317;6331;0;592;263311;11411;11162.17
8;t;GET;160;58407;5840;0;662;388110;12376;21597.24
8;t;GET;170;62305;6230;0;506;249220;11600;12799.11
8;t;GET;180;60654;6065;0;463;254404;11914;13540.62
8;t;GET;190;58341;5834;0;770;549639;12379;22996.22
8;t;GET;200;62254;6225;0;689;177120;11501;10671.22
8;t;GET;210;56945;5694;0;909;261418;12817;17278.22
8;t;GET;220;57553;5755;0;645;484036;12557;25485.72
8;t;GET;230;60406;6040;0;645;235549;11871;13335.16
8;t;GET;240;55967;5596;0;665;315899;12959;16684.70
8;t;GET;250;59498;5949;0;694;213705;12195;14764.04
8;t;GET;260;63241;6324;0;545;250840;11428;11020.83
8;t;GET;270;58526;5852;0;688;232511;12357;13975.92
8;t;GET;280;55901;5590;0;651;664283;12925;26170.49
8;t;GET;290;43959;4395;0;544;869090;14833;49386.78
8;t;GET;300;52378;5237;0;594;4773623;15149;99796.64
8;t;GET;310;56831;5683;0;663;1762066;12713;41824.99
8;t;GET;320;63741;6374;0;787;236296;11324;12479.05
8;t;GET;330;57783;5778;0;581;333316;12525;16930.35
8;t;GET;340;63844;6384;0;693;157536;11304;9672.05
8;t;GET;350;55784;5578;0;401;686506;12978;27441.85
8;t;GET;360;63325;6332;0;580;167240;11418;10621.77
8;t;GET;360;63325;6332;0;580;167240;11418;10621.77
8;global;GET;361.4;63325;6332;0;401;4773623;11998;26279
9;t;GET;10;66138;6613;0;631;106402;10962;6893.33
9;t;GET;20;58953;5895;0;603;208955;12306;10044.90
9;t;GET;30;62610;6261;0;558;1049032;11535;35751.31
9;t;GET;40;65400;6540;0;515;168931;11134;9820.41
9;t;GET;50;64471;6447;0;442;79677;11212;6251.72
9;t;GET;60;66016;6601;0;669;318662;10943;12209.68
9;t;GET;70;66533;6653;0;598;260871;10867;9823.95
9;t;GET;80;57219;5721;0;635;1298047;12624;45264.28
9;t;GET;90;60295;6029;0;542;971707;11990;34172.75
9;t;GET;100;63424;6342;0;617;344977;11401;12700.75
9;t;GET;110;66691;6669;0;602;230186;10834;12238.25
9;t;GET;120;64862;6486;0;559;340949;11136;14180.02
9;t;GET;130;57624;5762;0;571;1106463;12546;40542.65
9;t;GET;140;66078;6607;0;576;273893;10943;10295.11
9;t;GET;150;66922;6692;0;722;256804;10796;10628.77
9;t;GET;160;60337;6033;0;440;388216;11986;20743.63
9;t;GET;170;63038;6303;0;505;248421;11454;13812.14
9;t;GET;180;61559;6155;0;560;257807;11746;13540.70
9;t;GET;190;63202;6320;0;658;551791;11434;22151.95
9;t;GET;200;63626;6362;0;589;175986;11358;10904.68
9;t;GET;210;58844;5884;0;790;260347;12287;16975.05
9;t;GET;220;58738;5873;0;671;483732;12309;25163.22
9;t;GET;230;65094;6509;0;695;235334;11102;13019.00
9;t;GET;240;57220;5722;0;699;315879;12628;16555.77
9;t;GET;250;63276;6327;0;361;214206;11425;14384.58
9;t;GET;260;66659;6665;0;613;254116;10841;10862.88
9;t;GET;270;60606;6060;0;473;231139;11928;13787.02
9;t;GET;280;58791;5879;0;679;672147;12282;25302.46
9;t;GET;290;47667;4766;0;535;869643;14300;47721.31
9;t;GET;300;51463;5146;0;708;4419673;14850;96056.79
9;t;GET;310;57932;5793;0;625;1771444;12467;41408.46
9;t;GET;320;67676;6767;0;514;236606;10687;12594.51
9;t;GET;330;58711;5871;0;563;336018;12310;16919.13
9;t;GET;340;65188;6518;0;550;157396;11084;9632.16
9;t;GET;350;57748;5774;0;442;654713;12097;20994.58
9;t;GET;360;64379;6437;0;430;688900;11602;19278.53
9;t;GET;360;64379;6437;0;430;688900;11602;19278.53
9;global;GET;361.6;64379;6437;0;361;4419673;11698;25532
