type,flag,timeCreated,timeEnqueued,timeDequeued,timeForwarded,timeReceived,timeReturned
SET,STORED,1478613573765,1478613573765,1478613573786,1478613573786,1478613573788,1478613573788
SET,STORED,1478613573828,1478613573828,1478613573845,1478613573845,1478613573852,1478613573852
SET,STORED,1478613573861,1478613573861,1478613573872,1478613573872,1478613573873,1478613573873
SET,STORED,1478613573930,1478613573930,1478613573943,1478613573943,1478613573944,1478613573944
SET,STORED,1478613573899,1478613573899,1478613573953,1478613573954,1478613573955,1478613573955
SET,STORED,1478613573959,1478613573959,1478613573982,1478613573982,1478613573983,1478613573983
SET,STORED,1478613573979,1478613573979,1478613573986,1478613573986,1478613573987,1478613573987
SET,STORED,1478613574012,1478613574012,1478613574013,1478613574013,1478613574013,1478613574013
SET,STORED,1478613574045,1478613574045,1478613574061,1478613574061,1478613574061,1478613574061
SET,STORED,1478613574064,1478613574064,1478613574067,1478613574067,1478613574068,1478613574068
SET,STORED,1478613574085,1478613574085,1478613574110,1478613574110,1478613574110,1478613574110
SET,STORED,1478613574105,1478613574105,1478613574127,1478613574127,1478613574127,1478613574127
SET,STORED,1478613574126,1478613574126,1478613574136,1478613574136,1478613574137,1478613574137
SET,STORED,1478613574144,1478613574144,1478613574155,1478613574155,1478613574156,1478613574156
SET,STORED,1478613574155,1478613574155,1478613574183,1478613574183,1478613574183,1478613574183
SET,STORED,1478613574174,1478613574174,1478613574183,1478613574183,1478613574183,1478613574183
SET,STORED,1478613574202,1478613574202,1478613574218,1478613574218,1478613574221,1478613574221
SET,STORED,1478613574222,1478613574222,1478613574235,1478613574235,1478613574236,1478613574236
SET,STORED,1478613574247,1478613574247,1478613574274,1478613574274,1478613574276,1478613574276
SET,STORED,1478613574308,1478613574308,1478613574338,1478613574338,1478613574340,1478613574340
SET,STORED,1478613574276,1478613574276,1478613574349,1478613574349,1478613574350,1478613574350
SET,STORED,1478613574350,1478613574350,1478613574370,1478613574370,1478613574371,1478613574371
SET,STORED,1478613574328,1478613574328,1478613574411,1478613574411,1478613574419,1478613574419
SET,STORED,1478613574386,1478613574386,1478613574443,1478613574443,1478613574444,1478613574444
SET,STORED,1478613574405,1478613574405,1478613574457,1478613574457,1478613574465,1478613574465
SET,STORED,1478613574484,1478613574484,1478613574490,1478613574490,1478613574490,1478613574490
SET,STORED,1478613574534,1478613574534,1478613574540,1478613574540,1478613574540,1478613574540
SET,STORED,1478613574425,1478613574425,1478613574542,1478613574542,1478613574542,1478613574542
SET,STORED,1478613574454,1478613574454,1478613574578,1478613574578,1478613574578,1478613574578
SET,STORED,1478613574573,1478613574573,1478613574591,1478613574591,1478613574592,1478613574592
SET,STORED,1478613574592,1478613574592,1478613574615,1478613574615,1478613574615,1478613574615
SET,STORED,1478613574504,1478613574504,1478613574633,1478613574633,1478613574633,1478613574633
SET,STORED,1478613574611,1478613574611,1478613574654,1478613574654,1478613574657,1478613574657
SET,STORED,1478613574623,1478613574623,1478613574661,1478613574661,1478613574661,1478613574661
SET,STORED,1478613574664,1478613574664,1478613574688,1478613574688,1478613574688,1478613574688
SET,STORED,1478613574554,1478613574554,1478613574687,1478613574688,1478613574688,1478613574688
SET,STORED,1478613574674,1478613574674,1478613574700,1478613574700,1478613574701,1478613574701
SET,STORED,1478613574712,1478613574712,1478613574727,1478613574727,1478613574728,1478613574728
SET,STORED,1478613574732,1478613574732,1478613574742,1478613574742,1478613574743,1478613574743
SET,STORED,1478613574743,1478613574743,1478613574756,1478613574756,1478613574757,1478613574757
SET,STORED,1478613574694,1478613574694,1478613574871,1478613574871,1478613574883,1478613574883
SET,STORED,1478613574885,1478613574885,1478613574890,1478613574890,1478613574891,1478613574891
SET,STORED,1478613574641,1478613574641,1478613574901,1478613574901,1478613574901,1478613574901
SET,STORED,1478613574924,1478613574924,1478613574935,1478613574935,1478613574935,1478613574935
SET,STORED,1478613574762,1478613574762,1478613574952,1478613574952,1478613574961,1478613574961
SET,STORED,1478613574904,1478613574904,1478613574981,1478613574981,1478613574982,1478613574982
SET,STORED,1478613574965,1478613574965,1478613574994,1478613574994,1478613574994,1478613574994
SET,STORED,1478613574945,1478613574945,1478613575005,1478613575005,1478613575007,1478613575007
SET,STORED,1478613575015,1478613575015,1478613575032,1478613575032,1478613575032,1478613575032
SET,STORED,1478613574983,1478613574983,1478613575030,1478613575030,1478613575033,1478613575033
SET,STORED,1478613575063,1478613575063,1478613575076,1478613575076,1478613575077,1478613575077
SET,STORED,1478613575082,1478613575082,1478613575105,1478613575105,1478613575105,1478613575105
SET,STORED,1478613575112,1478613575112,1478613575119,1478613575119,1478613575119,1478613575119
SET,STORED,1478613575144,1478613575144,1478613575157,1478613575157,1478613575157,1478613575157
SET,STORED,1478613575003,1478613575003,1478613575211,1478613575211,1478613575212,1478613575212
SET,STORED,1478613575123,1478613575123,1478613575210,1478613575210,1478613575219,1478613575219
