memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
4;t;GET;30;68085;2269;0;558;308689;27874;33043.36
4;t;SET;30;718;23;0;1038;348489;44014;74077.93
4;t;GET;60;81171;2705;0;850;381459;23556;26715.59
4;t;SET;60;824;27;0;1069;235711;18291;24013.70
4;t;GET;90;79390;2646;0;649;270323;24086;27018.92
4;t;SET;90;801;26;0;911;266906;20294;28882.24
4;t;GET;120;78698;2623;0;554;257339;24290;26852.48
4;t;SET;120;791;26;0;872;218554;19670;26343.09
4;t;GET;150;78375;2612;0;757;223288;24388;26325.92
4;t;SET;150;796;26;0;1053;172774;18827;23954.16
4;t;GET;180;82342;2744;0;722;329709;23240;25165.72
4;t;SET;180;834;27;0;645;199062;18213;23655.58
4;t;GET;210;80636;2687;0;598;216932;23737;23608.59
4;t;SET;210;813;27;0;886;213831;19136;25006.82
4;t;GET;240;76826;2560;0;650;815182;24906;35714.77
4;t;SET;240;770;25;0;804;800803;20064;37558.73
4;t;GET;270;82446;2748;0;749;742363;23371;30132.22
4;t;SET;270;839;27;0;898;202238;16153;20225.76
4;t;GET;300;75121;2504;0;583;290256;25575;27270.44
4;t;SET;300;757;25;0;1125;182899;19500;24314.07
4;t;GET;330;81437;2714;0;545;232637;23557;23938.63
4;t;SET;330;822;27;0;1004;228165;20183;24763.96
4;t;GET;360;72952;2431;0;510;336706;26296;29094.54
4;t;SET;360;738;24;0;1176;230327;22941;30403.45
4;t;GET;390;80471;2682;0;520;269532;23808;26541.09
4;t;SET;390;812;27;0;873;233242;19791;25481.27
4;t;GET;420;77756;2591;0;551;275109;24598;26682.24
4;t;SET;420;785;26;0;858;259768;19634;25323.26
4;t;GET;450;73043;2434;0;561;369674;26170;30667.66
4;t;SET;450;735;24;0;1033;259607;23019;27002.22
4;t;GET;480;73163;2438;0;519;375267;26090;30022.97
4;t;SET;480;746;24;0;832;253457;23103;30864.93
4;t;GET;510;78639;2621;0;521;265948;24330;26600.80
4;t;SET;510;792;26;0;1074;178160;17227;19952.55
4;t;GET;540;78062;2602;0;621;490774;24547;27292.60
4;t;SET;540;786;26;0;937;195562;18496;25788.39
4;t;GET;570;78740;2624;0;614;240347;24308;24523.48
4;t;SET;570;795;26;0;1074;172266;16901;21926.72
4;t;GET;600;73523;2450;0;557;284620;26026;27479.90
4;t;SET;600;740;24;0;837;198767;18830;25590.07
4;t;GET;630;77501;2583;0;522;293220;24669;26814.02
4;t;SET;630;784;26;0;972;277788;19987;30100.68
4;t;GET;660;77912;2597;0;554;264798;24530;25175.04
4;t;SET;660;786;26;0;1052;186899;19862;25312.00
4;t;GET;690;73111;2437;0;629;233759;26152;27456.83
4;t;SET;690;740;24;0;839;192359;21227;27102.35
4;t;GET;720;73092;2436;0;698;331825;26177;28687.58
4;t;SET;720;742;24;0;1013;231095;20040;26455.71
4;t;GET;750;72779;2425;0;526;260529;26266;28360.59
4;t;SET;750;735;24;0;983;227379;20775;26294.61
4;t;GET;780;76681;2556;0;659;372793;24910;27733.15
4;t;SET;780;770;25;0;836;278685;20054;25990.75
4;t;GET;810;75539;2517;0;587;231135;25318;25824.32
4;t;SET;810;766;25;0;1149;221357;20341;25593.72
4;t;GET;840;77984;2599;0;534;231245;24543;24845.19
4;t;SET;840;787;26;0;834;208980;18921;22452.51
4;t;GET;870;76629;2554;0;636;484316;24951;30504.43
4;t;SET;870;773;25;0;899;206120;20445;27955.93
4;t;GET;900;77486;2582;0;529;271617;24647;27742.92
4;t;SET;900;786;26;0;903;244374;22715;30188.49
4;t;GET;930;77157;2571;0;537;305261;24769;26755.92
4;t;SET;930;778;25;0;823;283192;21294;28772.45
4;t;GET;960;76432;2547;0;545;258557;24959;26526.61
4;t;SET;960;771;25;0;744;199969;20411;25003.94
4;t;GET;990;78967;2632;0;738;287043;24262;27858.62
4;t;SET;990;799;26;0;829;245650;22621;28949.62
4;t;GET;1020;76136;2537;0;484;219015;25097;26585.43
4;t;SET;1020;770;25;0;999;186290;21921;28044.45
4;t;GET;1050;77069;2568;0;487;252448;24772;25666.01
4;t;SET;1050;773;25;0;918;231662;19021;26462.12
4;t;GET;1080;76301;2543;0;542;308441;25108;26511.90
4;t;SET;1080;776;25;0;890;267067;19709;27481.37
4;t;GET;1110;78496;2616;0;599;281503;24322;24471.07
4;t;SET;1110;790;26;0;1013;262380;18235;27155.75
4;t;GET;1140;76578;2552;0;610;260182;25022;25413.03
4;t;SET;1140;774;25;0;891;178342;19501;24135.81
4;t;GET;1170;74760;2492;0;595;538742;25573;30365.08
4;t;SET;1170;755;25;0;995;516831;21051;32803.47
4;t;GET;1200;71341;2378;0;618;363480;26775;29726.44
4;t;SET;1200;719;23;0;966;346972;23709;35146.26
4;t;GET;1230;71783;2392;0;507;735568;26612;34510.34
4;t;SET;1230;727;24;0;807;265774;23138;34374.46
4;t;GET;1260;77952;2598;0;564;311125;24461;26306.67
4;t;SET;1260;791;26;0;938;245206;20327;26920.53
4;t;GET;1290;76193;2539;0;559;520134;25162;29294.49
4;t;SET;1290;768;25;0;904;479832;20124;30434.83
4;t;GET;1320;77259;2575;0;623;291932;24710;26333.63
4;t;SET;1320;781;26;0;855;199023;21764;26756.57
4;t;GET;1350;75108;2503;0;580;217015;25467;27130.11
4;t;SET;1350;755;25;0;1245;194624;21415;27494.71
4;t;GET;1380;72694;2423;0;684;249758;26288;28144.09
4;t;SET;1380;734;24;0;892;234363;21869;28492.11
4;t;GET;1410;71830;2394;0;521;278965;26565;29970.81
4;t;SET;1410;727;24;0;1009;237948;22886;29740.56
4;t;GET;1440;74876;2495;0;574;283685;25681;29843.01
4;t;SET;1440;758;25;0;964;228319;22772;30300.91
4;t;GET;1470;78213;2607;0;454;202798;24525;25370.99
4;t;SET;1470;789;26;0;789;190109;20950;25450.27
4;t;GET;1500;75895;2529;0;616;335977;25286;29386.06
4;t;SET;1500;765;25;0;892;331655;21162;29591.28
4;t;GET;1530;76664;2555;0;513;633942;24950;29484.44
4;t;SET;1530;776;25;0;740;618967;21506;34127.44
4;t;GET;1560;76921;2564;0;652;315705;24858;28354.08
4;t;SET;1560;776;25;0;1025;271021;19206;26987.24
4;t;GET;1590;71676;2389;0;556;272117;26677;30957.96
4;t;SET;1590;722;24;0;1005;256237;19970;27330.41
4;t;GET;1620;76965;2565;0;509;369101;24817;29434.85
4;t;SET;1620;784;26;0;867;364045;20631;33152.85
4;t;GET;1650;75000;2500;0;435;268718;25542;27253.69
4;t;SET;1650;753;25;0;959;170676;17191;22421.96
4;t;GET;1680;77743;2591;0;558;328316;24613;25775.47
